"0","summary(model)$coefficients"
"1","                "
"1","   Estimate"
"1"," Std. Error"
"1","   t value"
"1","     Pr(>|t|)"
"1","
(Intercept)     "
"1"," 2169.26972"
"1"," 271.752535"
"1","  7.982519"
"1"," 2.435949e-14"
"1","
bill_length_mm  "
"1","   32.53689"
"1","   7.302598"
"1","  4.455522"
"1"," 1.149769e-05"
"1","
speciesChinstrap"
"1"," -298.76553"
"1","  85.947166"
"1"," -3.476153"
"1"," 5.771218e-04"
"1","
speciesGentoo   "
"1"," 1094.86739"
"1","  74.029471"
"1"," 14.789615"
"1"," 2.810935e-38"
"1","
sexmale         "
"1","  547.36692"
"1","  43.205934"
"1"," 12.668790"
"1"," 3.254582e-30"
"1","
"
